Soil;Antagonism
Bat_1_1;43.8333150266667
Bat_1_2;43.8333150266667
Bat_1_3;43.8333150266667
Bat_1_4;43.8333150266667
Bat_1_5;43.8333150266667
Bat_2_1;55.9100444833333
Bat_2_2;55.9100444833333
Bat_2_3;55.9100444833333
Bat_2_4;55.9100444833333
Bat_2_5;55.9100444833333
Bat_3_1;33.7864883683333
Bat_3_2;33.7864883683333
Bat_3_3;33.7864883683333
Bat_3_4;33.7864883683333
Bat_3_5;33.7864883683333
Rov_1_1;91.5236641216667
Rov_1_2;91.5236641216667
Rov_1_3;91.5236641216667
Rov_1_4;91.5236641216667
Rov_1_5;91.5236641216667
Rov_2_1;66.1104160941667
Rov_2_2;66.1104160941667
Rov_2_3;66.1104160941667
Rov_2_4;66.1104160941667
Rov_2_5;66.1104160941667
Rov_3_1;65.8326102466667
Rov_3_2;65.8326102466667
Rov_3_3;65.8326102466667
Rov_3_4;65.8326102466667
Rov_3_5;65.8326102466667
Stu_1_1;80.13651491
Stu_1_2;80.13651491
Stu_1_3;80.13651491
Stu_1_4;80.13651491
Stu_1_5;80.13651491
Stu_2_1;84.7428597578333
Stu_2_2;84.7428597578333
Stu_2_3;84.7428597578333
Stu_2_4;84.7428597578333
Stu_2_5;84.7428597578333
Stu_3_1;92.0733007488333
Stu_3_2;92.0733007488333
Stu_3_3;92.0733007488333
Stu_3_4;92.0733007488333
Stu_3_5;92.0733007488333
Stu_4_1;79.18361433
Stu_4_2;79.18361433
Stu_4_3;79.18361433
Stu_4_4;79.18361433
Stu_4_5;79.18361433
Stu_5_1;94.018796565
Stu_5_2;94.018796565
Stu_5_3;94.018796565
Stu_5_4;94.018796565
Stu_5_5;94.018796565
Stu_6_1;84.0342651071667
Stu_6_2;84.0342651071667
Stu_6_3;84.0342651071667
Stu_6_4;84.0342651071667
Stu_6_5;84.0342651071667
Stu_7_1;85.5486755635
Stu_7_2;85.5486755635
Stu_7_3;85.5486755635
Stu_7_4;85.5486755635
Stu_7_5;85.5486755635
